german,prec,recall,model_performance,threshold
Amsel,0.995555555555556,1,0.996666666666667,logi
Bergfink,1,0.310810810810811,0.827702702702703,logi
Blaumeise,1,0.886792452830189,0.971698113207547,logi
Buchfink,0.985221674876847,0.91324200913242,0.96722675844074,logi
Buntspecht,0.988505747126437,0.895833333333333,0.965337643678161,logi
Eichelhäher,0.955056179775281,0.574324324324324,0.859873215912542,logi
Erlenzeisig,0.92,0.212962962962963,0.743240740740741,logi
Gimpel,0.75,0.230769230769231,0.620192307692308,logi
Graureiher,0.705882352941177,0.571428571428571,0.672268907563025,logi
Grauschnäpper,0.75,0.340909090909091,0.647727272727273,logi
Grünspecht,0.967741935483871,0.263157894736842,0.791595925297114,logi
Habicht,1,0.5,0.875,logi
Heckenbraunelle,1,0.0384615384615385,0.759615384615385,logi
Hohltaube,1,0.203389830508475,0.800847457627119,logi
Kernbeißer,0.955414012738854,0.753768844221106,0.905002720609416,logi
Kleiber,0.945945945945946,0.679611650485437,0.879362372080819,logi
Kohlmeise,0.973154362416107,0.747422680412371,0.916721441915173,logi
Kolkrabe,0.962686567164179,0.651515151515152,0.884893713251922,logi
Kranich,1,0.142857142857143,0.785714285714286,logi
Misteldrossel,0.875,0.137254901960784,0.690563725490196,logi
Mäusebussard,0.5,0.142857142857143,0.410714285714286,logi
Mönchsgrasmücke,0.99,0.61875,0.8971875,logi
Rabenkrähe,1,0.39622641509434,0.849056603773585,logi
Ringeltaube,0.975308641975309,0.778325123152709,0.926062762269659,logi
Rotdrossel,0.964285714285714,0.278350515463918,0.792801914580265,logi
Rotkehlchen,0.993333333333333,0.745,0.93125,logi
Rotmilan,0.75,0.25,0.625,logi
Schwarzspecht,0.96,0.275862068965517,0.788965517241379,logi
Singdrossel,0.98314606741573,0.833333333333333,0.945692883895131,logi
Sommergoldhähnchen,1,0.253012048192771,0.813253012048193,logi
Star,0.977099236641221,0.680851063829787,0.903037193438363,logi
Stockente,1,0.461538461538462,0.865384615384615,logi
Sumpfmeise,0.608695652173913,0.157303370786517,0.495847581827064,logi
Tannenmeise,1,0.0677966101694915,0.766949152542373,logi
Trauerschnäpper,0.939759036144578,0.513157894736842,0.833108750792644,logi
Wachtel,0.923076923076923,0.571428571428571,0.835164835164835,logi
Waldbaumläufer,0.846153846153846,0.275,0.703365384615385,logi
Waldkauz,0.964601769911504,0.619318181818182,0.878280872888174,logi
Waldlaubsänger,0.974025974025974,0.5859375,0.877003855519481,logi
Wendehals,0.947368421052632,0.666666666666667,0.87719298245614,logi
Zaunkönig,0.99290780141844,0.721649484536083,0.92509322219785,logi
Zilpzalp,0.75,0.0487804878048781,0.57469512195122,logi
